parent,strategy,test,category,controlFailed,controlEvaluated,controlUnresolved,treatmentFailed,treatmentEvaluated,treatmentUnresolved,failureRateDelta,direction
reuse_b,boundaries,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
reuse_b,boundaries,oversizedPhysicalLine,Resource stress,4,5,0,0,5,0,-0.8,decreased
reuse_b,boundaries,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
reuse_b,boundaries,largePersistedRecordSet,Resource stress,3,3,2,0,2,3,,unresolved
reuse_sb,overview,rejectsNegativeScore,Input policy,5,5,0,5,5,0,0.0,equal
reuse_sb,overview,rejectsNegativeTime,Input policy,5,5,0,5,5,0,0.0,equal
reuse_sb,overview,rejectsNullName,Input policy,5,5,0,5,5,0,0.0,equal
reuse_sb,overview,rejectsBlankName,Input policy,5,5,0,5,5,0,0.0,equal
reuse_sb,overview,rejectsExcessiveName,Input policy,5,5,0,5,5,0,0.0,equal
reuse_sb,overview,boundsRetainedEntries,Retention policy,2,5,0,2,5,0,0.0,equal
reuse_sb,overview,malformedStoreDoesNotCrash,Parser robustness,0,5,0,1,5,0,0.2,increased
reuse_sb,overview,oversizedPhysicalLine,Resource stress,4,5,0,5,5,0,0.19999999999999996,increased
reuse_sb,overview,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
reuse_sb,overview,largePersistedRecordSet,Resource stress,3,3,2,1,2,3,,unresolved
reuse_sb,requirements,rejectsNegativeScore,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,requirements,rejectsNegativeTime,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,requirements,rejectsNullName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,requirements,rejectsBlankName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,requirements,rejectsExcessiveName,Input policy,5,5,0,0,5,0,-1.0,decreased
reuse_sb,requirements,boundsRetainedEntries,Retention policy,2,5,0,0,5,0,-0.4,decreased
reuse_sb,requirements,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
reuse_sb,requirements,oversizedPhysicalLine,Resource stress,4,5,0,0,5,0,-0.8,decreased
reuse_sb,requirements,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
reuse_sb,requirements,largePersistedRecordSet,Resource stress,3,3,2,0,1,4,,unresolved
reuse_sb,boundaries,rejectsNegativeScore,Input policy,5,5,0,5,5,0,0.0,equal
reuse_sb,boundaries,rejectsNegativeTime,Input policy,5,5,0,4,5,0,-0.19999999999999996,decreased
reuse_sb,boundaries,rejectsNullName,Input policy,5,5,0,5,5,0,0.0,equal
reuse_sb,boundaries,rejectsBlankName,Input policy,5,5,0,5,5,0,0.0,equal
reuse_sb,boundaries,rejectsExcessiveName,Input policy,5,5,0,5,5,0,0.0,equal
reuse_sb,boundaries,boundsRetainedEntries,Retention policy,2,5,0,2,5,0,0.0,equal
reuse_sb,boundaries,malformedStoreDoesNotCrash,Parser robustness,0,5,0,0,5,0,0.0,equal
reuse_sb,boundaries,oversizedPhysicalLine,Resource stress,4,5,0,0,5,0,-0.8,decreased
reuse_sb,boundaries,nativeDeserializationCanary,Deserialization dispatch,0,5,0,0,5,0,0.0,equal
reuse_sb,boundaries,largePersistedRecordSet,Resource stress,3,3,2,0,2,3,,unresolved
